Timestamp,Label,Score,Response Time (s)
2025-06-25 22:35:10,Human,-0.094,0.046
2025-06-25 22:35:11,Human,-0.104,0.057
2025-06-25 22:35:11,Human,-0.083,0.07
2025-06-25 22:35:17,Human,-0.109,6.003
2025-06-25 22:35:17,Human,-0.090,0.055
2025-06-25 22:35:17,Human,-0.100,0.08
2025-06-25 22:35:17,Human,-0.073,0.081
2025-06-25 22:35:17,Human,-0.079,0.076
2025-06-25 22:35:17,Human,-0.089,0.049
2025-06-25 22:35:17,Human,-0.094,0.048
2025-06-25 22:35:17,Human,-0.092,0.083
2025-06-25 22:35:17,Human,-0.079,0.08
2025-06-25 22:35:23,Human,-0.082,5.128
2025-06-25 22:35:23,Human,-0.046,0.061
2025-06-25 22:35:23,Human,-0.099,0.06
2025-06-25 22:35:23,Human,-0.097,0.05
2025-06-25 22:35:23,Human,-0.098,0.083
2025-06-25 22:35:23,Human,-0.100,0.076
2025-06-25 22:35:28,Human,-0.090,5.162
2025-06-25 22:35:28,Human,-0.081,0.082
2025-06-25 22:35:28,Human,-0.098,0.072
2025-06-25 22:35:34,Human,-0.077,5.201
2025-06-25 22:35:34,Human,-0.111,0.067
2025-06-25 22:35:34,Human,-0.100,0.08
2025-06-25 22:35:34,Human,-0.098,0.075
2025-06-25 22:35:34,Human,-0.099,0.049
2025-06-25 22:35:34,Human,-0.090,0.082
2025-06-25 22:35:34,Human,-0.071,0.076
2025-06-25 22:35:34,Human,-0.082,0.075
2025-06-25 22:35:34,Human,-0.069,0.078
2025-06-25 22:35:34,Human,-0.080,0.074
2025-06-25 22:35:34,Human,-0.086,0.049
2025-06-25 22:35:35,Human,-0.062,0.08
2025-06-25 22:35:35,Human,-0.077,0.078
2025-06-25 22:35:35,Human,-0.090,0.046
2025-06-25 22:35:35,Human,-0.080,0.08
2025-06-25 22:35:35,Human,-0.096,0.076
2025-06-25 22:35:35,Human,-0.082,0.082
2025-06-25 22:35:35,Human,-0.062,0.105
2025-06-25 22:35:35,Human,-0.102,0.061
2025-06-25 22:35:35,Human,-0.091,0.074
2025-06-25 22:35:35,Human,-0.095,0.084
2025-06-25 22:35:35,Human,-0.073,0.048
2025-06-25 22:35:36,Human,-0.079,0.076
2025-06-25 22:35:36,Human,-0.078,0.079
2025-06-25 22:35:41,Human,-0.089,5.114
2025-06-25 22:35:41,Human,-0.109,0.065
2025-06-25 22:35:41,Human,-0.100,0.08
2025-06-25 22:35:47,Human,-0.111,5.982
2025-06-25 22:35:47,Human,-0.117,0.068
2025-06-25 22:35:47,Human,-0.120,0.074
2025-06-25 22:35:53,Human,-0.094,6.078
2025-06-25 22:35:53,Human,-0.046,0.084
2025-06-25 22:35:53,Human,-0.044,0.07
2025-06-25 22:35:54,Human,-0.074,0.075
2025-06-25 22:35:54,Human,-0.064,0.075
2025-06-25 22:35:54,Human,-0.023,0.074
2025-06-25 22:35:54,Human,-0.067,0.074
2025-06-25 22:35:54,Human,-0.046,0.089
2025-06-25 22:35:54,Human,-0.058,0.062
2025-06-25 22:35:54,Human,-0.053,0.081
2025-06-25 22:35:54,Human,-0.056,0.048
2025-06-25 22:35:54,Human,-0.032,0.074
2025-06-25 22:35:54,Human,-0.041,0.05
2025-06-25 22:35:55,Human,-0.029,0.083
2025-06-25 22:35:55,Human,-0.023,0.085
2025-06-25 22:35:55,Human,-0.019,0.069
2025-06-25 22:35:55,Human,-0.021,0.079
2025-06-25 22:35:55,Human,-0.008,0.048
2025-06-25 22:35:55,Human,-0.018,0.051
2025-06-25 22:35:55,Human,-0.024,0.074
2025-06-25 22:35:55,Human,-0.025,0.047
2025-06-25 22:35:55,Human,-0.056,0.081
2025-06-25 22:35:55,Human,-0.040,0.081
2025-06-25 22:35:55,Human,-0.028,0.074
2025-06-25 22:35:55,Human,-0.040,0.079
2025-06-25 22:35:56,Human,-0.028,0.086
2025-06-25 22:35:56,Human,-0.057,0.077
2025-06-25 22:35:56,Human,-0.046,0.076
2025-06-25 22:35:56,Human,-0.044,0.047
2025-06-25 22:35:56,Human,-0.022,0.079
2025-06-25 22:35:56,Human,-0.015,0.08
2025-06-25 22:35:56,Human,-0.052,0.088
2025-06-25 22:35:56,Human,-0.054,0.077
2025-06-25 22:35:56,Human,-0.048,0.079
2025-06-25 22:35:56,Human,-0.062,0.078
2025-06-25 22:35:57,Human,-0.046,0.05
2025-06-25 22:35:57,Human,-0.036,0.083
2025-06-25 22:35:57,Human,-0.049,0.081
2025-06-25 22:35:57,Human,-0.029,0.079
2025-06-25 22:35:57,Human,-0.058,0.075
2025-06-25 22:35:57,Human,-0.056,0.079
2025-06-25 22:35:57,Human,-0.042,0.05
2025-06-25 22:35:57,Human,-0.036,0.064
2025-06-25 22:35:57,Human,-0.039,0.086
2025-06-25 22:35:57,Human,-0.053,0.075
2025-06-25 22:35:57,Human,-0.040,0.083
2025-06-25 22:35:58,Human,-0.052,0.053
2025-06-25 22:35:58,Human,-0.048,0.074
2025-06-25 22:35:58,Human,-0.048,0.08
2025-06-25 22:35:58,Human,-0.033,0.073
2025-06-25 22:35:58,Human,-0.041,0.085
2025-06-25 22:35:58,Human,-0.031,0.083
2025-06-25 22:35:58,Human,-0.028,0.082
2025-06-25 22:35:58,Human,-0.013,0.077
2025-06-25 22:35:58,Human,-0.006,0.078
2025-06-25 22:35:58,Human,-0.045,0.047
